# ECEF Positions (meters) and times (seconds)
# X, Y, Z, T
-742016.236541, -5462218.663249, 3198014.127100, 0.0
-742016.468396, -5462218.653262, 3198014.127872, 0.7661
-742016.622044, -5462218.607407, 3198014.136340, 1.5711
-742016.658347, -5462218.728187, 3198014.255754, 2.2534
-742016.630105, -5462218.809458, 3198014.362189, 3.0292
-742016.658623, -5462219.015208, 3198014.516705, 3.7888
-742016.633684, -5462219.056067, 3198014.636996, 4.4996
-742016.657189, -5462219.063126, 3198014.549584, 5.2366
-742016.628529, -5462219.016563, 3198014.395772, 5.9968
-742016.672780, -5462219.166259, 3198014.495934, 6.8542
-742016.713211, -5462219.463866, 3198014.690184, 7.6873
-742016.742098, -5462219.563318, 3198014.709468, 8.3968
-742016.739558, -5462219.488369, 3198014.605910, 9.2378
-742016.707556, -5462219.574836, 3198014.653824, 10.0096
-742016.390941, -5462219.666826, 3198014.628121, 10.7577
-742016.181098, -5462219.728211, 3198014.686782, 11.5291
-742015.851640, -5462219.785094, 3198014.684698, 12.2730
-742015.459862, -5462219.843915, 3198014.684358, 13.0193
-742015.109534, -5462219.826980, 3198014.692973, 13.8140
-742015.359079, -5462219.818563, 3198014.689814, 14.6062
-742015.707384, -5462219.807488, 3198014.666356, 15.3988
-742016.103203, -5462219.745979, 3198014.676204, 16.1689
-742016.595741, -5462219.750063, 3198014.625270, 16.8827
-742016.745982, -5462219.951406, 3198014.216070, 17.6542
-742016.857508, -5462219.967867, 3198014.176995, 18.4531
-742016.859210, -5462220.006592, 3198014.111982, 19.2178
-742016.800210, -5462220.095392, 3198013.910174, 19.9988
-742016.781619, -5462220.207574, 3198013.790764, 20.7706
-742016.767130, -5462220.258211, 3198013.790622, 21.5115
-742016.747656, -5462220.177518, 3198013.742425, 22.2703
-742016.708021, -5462220.024209, 3198013.569473, 22.9967
-742016.671263, -5462219.781518, 3198013.435783, 23.7734
-742016.684131, -5462219.776007, 3198013.388845, 24.4889
-742016.683529, -5462219.714921, 3198013.415897, 25.2069
-742016.703720, -5462219.916501, 3198013.531923, 25.9326
-742016.763595, -5462220.293511, 3198013.745364, 26.5943
-742016.772452, -5462220.534811, 3198013.811361, 27.3874
-742016.771673, -5462220.579167, 3198013.847962, 28.1472
-742016.804511, -5462220.614869, 3198013.756819, 28.8745
-742016.555770, -5462220.717502, 3198013.677200, 29.6656
-742016.246685, -5462220.856858, 3198013.679763, 30.3643
-742016.122347, -5462220.829249, 3198013.627964, 31.1112
-742015.981665, -5462220.888135, 3198013.583399, 31.8540
-742015.726940, -5462220.947385, 3198013.582849, 32.6136
-742015.679538, -5462220.803991, 3198013.465887, 33.3729
-742015.655642, -5462220.729781, 3198013.437309, 34.0970
-742015.667171, -5462220.771844, 3198013.434880, 34.8461
-742015.695042, -5462220.620320, 3198013.389981, 35.5911
-742015.655241, -5462220.494289, 3198013.381270, 36.3600
-742015.293551, -5462220.308405, 3198013.278016, 37.1428
-742015.313793, -5462220.336916, 3198013.279724, 37.9261
-742015.295552, -5462220.073238, 3198013.138034, 38.6501
-742015.264231, -5462219.816281, 3198013.011618, 39.4025
-742015.269358, -5462219.708835, 3198012.976504, 40.1160
-742015.357736, -5462219.677994, 3198012.962652, 40.8326
-742015.333999, -5462219.739958, 3198013.026979, 41.5824
-742015.277195, -5462220.067907, 3198013.170232, 42.3784
-742015.296901, -5462220.424124, 3198013.365560, 43.1053
-742015.327135, -5462220.774494, 3198013.512583, 43.8665
-742015.124084, -5462220.808420, 3198013.493139, 44.6097
-742014.785979, -5462220.917861, 3198013.513018, 45.3932
-742014.568405, -5462220.894504, 3198013.540179, 46.1105
-742014.330171, -5462220.964617, 3198013.566571, 46.8615
-742014.324671, -5462220.876204, 3198013.527558, 47.6281
-742014.319702, -5462220.947328, 3198013.546388, 48.4111
-742014.324734, -5462220.972952, 3198013.576463, 49.2074
-742014.386385, -5462221.315356, 3198013.808957, 49.9600
-742014.377644, -5462221.393934, 3198013.829661, 50.6653
-742014.384664, -5462221.411378, 3198013.846534, 51.3930
-742014.376240, -5462221.417119, 3198013.829853, 52.1112
-742014.344242, -5462221.194412, 3198013.716023, 52.9317
-742014.308192, -5462220.919355, 3198013.563935, 53.6632
-742014.320697, -5462220.896698, 3198013.516043, 54.4356
-742014.309586, -5462220.914988, 3198013.510833, 55.1799
-742014.271897, -5462220.888925, 3198013.526513, 55.9565
-742014.266572, -5462220.886748, 3198013.512085, 56.6836
-742014.243642, -5462220.841564, 3198013.507470, 57.3915
-742014.228950, -5462220.499757, 3198013.331873, 58.0988
-742014.220431, -5462220.340242, 3198013.209029, 58.8635
-742014.224696, -5462220.310265, 3198013.204640, 59.6082
-742014.221354, -5462220.269682, 3198013.209314, 60.3523
-742014.164858, -5462220.019647, 3198013.087519, 61.1449
-742014.137874, -5462219.977892, 3198013.210564, 61.9036
-742014.224615, -5462219.891985, 3198013.472326, 62.6595
-742013.970773, -5462219.866713, 3198013.474689, 63.4572
-742013.544529, -5462219.913791, 3198013.420463, 64.1830
-742013.414349, -5462219.727070, 3198013.756213, 64.9539
-742013.416620, -5462219.519840, 3198014.059206, 65.7290
-742013.410556, -5462219.531069, 3198014.104579, 66.4717
-742013.405714, -5462219.694553, 3198014.223315, 67.2282
-742013.412822, -5462219.879551, 3198014.267178, 67.9432
-742013.424918, -5462219.962245, 3198014.308561, 68.6587
-742013.453624, -5462220.046352, 3198014.295035, 69.4119
-742013.438871, -5462220.156045, 3198014.366655, 70.1836
-742013.458880, -5462220.512043, 3198014.515413, 71.0111
